pair,sentences,pred,TRUE,,,,single,sentences,pred,TRUE,,,duplicated,,
4320,my grandparents lived in LOCATION1 general for a long time and it was very boring,0,2,,,,4904,"Nothing wrong with LOCATION1 general , London is London and you only really get into trouble through your own behaviour",2,1,,,300,,
4335,Take a visit to the areas if you can so you can get an idea of what it is like and how good the transport links are What is the matter with LOCATION1 transit location,1,0,,,,4906,"Nothing wrong with LOCATION1 safety , London is London and you only really get into trouble through your own behaviour",2,0,,,301,,
4339,LOCATION1 transit location is a similar walking distance away,1,0,,,,4914,"As a general rule , anywhere on the LOCATION1 safety branch of the Northern Line is ok - except perhaps LOCATION2 and Archway which are a bit dangerous / grubby",2,0,,,302,,
4348,despite being out of the London there will be plenty of trains to commute to work LOCATION1 general LOCATION1 Village is very upmarket and many artists live there,1,0,,,,4920,"I wear trainers , a hoodie and a jacket if it 's raining A string bikini and high heels would get you warmed up Brilliant ideas , some have n't done , LOCATION1 general great @ LOCATION2",1,0,,,#N/A,,
4351,despite being out of the London there will be plenty of trains to commute to work LOCATION1 transit location LOCATION1 Village is very upmarket and many artists live there,2,0,,,,4944,LOCATION1 general is now a thriving area and lots of money has been spent n regeneration,0,1,,,#N/A,,
4353,"LOCATION1 price is a bit rough round the edges , but use your common sense and do n't flash your expensive belongings around the council estates late at night and you will be fine Well , you could say it gets dangerously full of drunken students on Friday and Saturday night but apart from that it is no more dangerous than any other part of London",2,0,,,,4945,LOCATION1 price is now a thriving area and lots of money has been spent n regeneration,2,0,,,#N/A,,
4364,You will be fine in LOCATION1 general as long as you use your common sense,1,0,,,,4949,"It 's a myth that LOCATION1 price is cheap , prices have shot up due to the Olympics The words `` dont cost too much `` and `` London `` dont belong in the same sentence",1,2,,,304,,
4366,You will be fine in LOCATION1 safety as long as you use your common sense,0,1,,,,4955,LOCATION1 transit location is the nearest station,1,0,,,305,,
4425,"the highly paid jobs tend to be in the LOCATION1 price ( with an average salary of around 100,000 )",2,0,,,,5067,"LOCATION1 transit location is the nearest one - still a bit of a walk from there , though",2,0,,,308,,
4444,"I 'll be bias , I live in LOCATION1 general , live there all my life and I would pick LOCATION1",0,1,,,,5095,30 minutes to LOCATION1 transit location on tube,1,0,,,#N/A,,
4451,LOCATION1 transit location is hardly London - that poster above is just one of those trendy too-cool-for-school types - there is life beyond LOCATION1,0,2,,,,5121,"I used to live on Gloucester road which was lovely , not so loud and a really cool , relaxed atmosphere LOCATION1 price is wonderful you will like it there only minutes from London and more affordable lots of art in bath",0,1,,,#N/A,,
4463,LOCATION1 transit location is nice and not too far from your uni,1,0,,,,5123,"I used to live on Gloucester road which was lovely , not so loud and a really cool , relaxed atmosphere LOCATION1 transit location is wonderful you will like it there only minutes from London and more affordable lots of art in bath",0,1,,,310,,
4471,Most areas of London are within 30/40 mins of LOCATION1 transit location by tube,0,1,,,,5124,LOCATION1 general best place fun and hip but affordable,1,0,,,311,,
4489,the most cheapest area are the worst you should live LOCATION1 price,1,0,,,,5144,"LOCATION1 general is a pretty dingy area , and I wouldnt live there unless I really had to",0,2,,,#N/A,,
4508,"LOCATION1 general is very nice and safe , its in zone 5 and it takes about 45 mins to get into central London",1,0,,,,5148,"LOCATION1 general has lost it 's edge , as well as being very expensive to live in",0,2,,,312,,
4542,LOCATION1 safety was one of the worst areas I experienced My only thought on it is poor does n't necessarily equate to rough,2,0,,,,5161,More affordable than LOCATION1 price and with quite a division between good and bad areas is LOCATION2,1,0,,,313,,
4588,LOCATION1 general is not far from LOCATION1 and is a much safer and more attractive area,0,1,,,,5164,LOCATION1 general would probably be your best bet as it 's close to the east end so there are lots of bars and clubs,0,1,,,#N/A,,
4610,"Pretty safe area too Parts of LOCATION1 safety are less than lovely , especially around the Shopping London , however as you move backwards down Station Road towards the LOCATION2 some of it is quite nice , especially around the train station",2,0,,,,5172,"I would suggest that living at the LOCATION1 general end of bethnal would be properly scummy , it 's horribly busy , dirty and overcrowded",0,2,,,315,,
4613,London rents are a rip off LOCATION1 price is where I live,2,0,,,,5179,"LOCATION1 transit location one of the main road routes towards north-west London so very busy , very heavy traffic , not at all quiet even at night",1,2,,,316,,
4624,is your best bet Enter your requirements on am thinking of LOCATION2 and preferably near LOCATION1 general,0,1,,,,5205,"I live in LOCATION1 price , it is the price we pay for being successful and a centre for immigration - which I am pro by the way",2,0,,,317,,
4641,LOCATION1 price is amazing but you need literally millions to live there aha,0,2,,,,5240,"When I was a student at Imperial College , LOCATION1 general was popular as it 's definitely a cheaper area and easily accessible on the 49 bus",1,0,,,318,,
4644,I really ca n't think of anything interesting to do in LOCATION1 general - and I live not far from it,0,2,,,,5245,Reasonably priced and fairly decent tea is served at the Orangery at LOCATION1 price,1,0,,,319,,
4703,"LOCATION1 transit location , LOCATION2 , there are literally dozens of areas Do n't restrict yourself to the Tube Network",1,0,,,,5256,LOCATION1 general is cool,0,1,,,#N/A,,
4704,"LOCATION1 general area , quite a bit of industry",0,2,,,,5272,"First of all , LOCATION1 general IS N'T a 'no go ' area",2,1,,,320,,
4724,Try a place called LOCATION1 general 20 mins by train from London LOCATION2,0,1,,,,5319,I lived in LOCATION1 transit location for 4 years and it 's only 20 mins on the train to LOCATION1,0,1,,,#N/A,,
4727,Try a place called LOCATION1 transit location 20 mins by train from London LOCATION2,0,1,,,,5357,"As a rule , some of the cheapest areas are in LOCATION1 price as these are not served by the tube ( underground ) and therefore commuting into the London is more difficult s",2,1,,,#N/A,,
4728,"'ave a bit of chow at Harrods , then go to the LOCATION1 general and light up a fag init",1,0,,,,5360,LOCATION1 general seems to be the next thing that everyone is talking about,0,1,,,322,,
4796,From what I understand LOCATION1 general is the safest and trendiest area,0,1,,,,5364,"LOCATION1 general is another good place to go to , it is always really busy , has a good selection of alternative shops , and everyone is always friendly there",0,1,,,#N/A,,
4798,From what I understand LOCATION1 safety is the safest and trendiest area,1,0,,,,5412,"I live in LOCATION1 general , its very safe but theres not much to do but its clean and pretty",1,0,,,323,,
4817,LOCATION1 price which is nearby is also very nice some property expense,2,0,,,,5432,"LOCATION1 general is quite a cool place to wander about with a couple of markets , a big park , and the river thames to walk along London Eye",0,1,,,324,,
4864,"you could also try LOCATION1 general , tho its certainly a bit posher-boho",1,0,,,,5504,"LOCATION1 general is fashionable so it is more expensive than for instance LOCATION2 north , north west , central , west tend to be more expensive yes",1,0,,,326,,
4904,"Nothing wrong with LOCATION1 general , London is London and you only really get into trouble through your own behaviour",2,1,,,,5569,The cheapest place I know of is LOCATION1 price ( a bit too far,1,0,,,327,,
4906,"Nothing wrong with LOCATION1 safety , London is London and you only really get into trouble through your own behaviour",2,0,,,,5570,The cheapest place I know of is LOCATION1 safety ( a bit too far,0,1,,,328,,
4914,"As a general rule , anywhere on the LOCATION1 safety branch of the Northern Line is ok - except perhaps LOCATION2 and Archway which are a bit dangerous / grubby",2,0,,,,5585,LOCATION1 price is quite an expensive area,2,1,,,330,,
4915,"As a general rule , anywhere on the LOCATION1 transit location branch of the Northern Line is ok - except perhaps LOCATION2 and Archway which are a bit dangerous / grubby",1,0,,,,5648,LOCATION1 general is quite exclusive but on the whole nah,0,2,,,331,,
4949,"It 's a myth that LOCATION1 price is cheap , prices have shot up due to the Olympics The words `` dont cost too much `` and `` London `` dont belong in the same sentence",1,2,,,,5666,There is also the history of course because LOCATION1 safety was notorious for the Jack The Ripper murders in the 1880s and the infamous Kray twins in the 1960s,2,0,,,333,,
4955,LOCATION1 transit location is the nearest station,1,0,,,,5668,"You could look at somewhere like LOCATION1 general which is only 20 minutes on train to LOCATION2 , very safe and quiet and a little cheaper than nice areas that are more central",0,1,,,334,,
4986,"LOCATION1 safety can be pretty rough , but then you can not guarantee safety anywhere , just be sensible and do n't go anywhere that is not lit properly , stay where there are lots of people and do n't get into any arguments , you 'll be as safe there as anywhere",1,2,,,,5711,the real treat of living in LOCATION1 transit location are the smaller shops that line the streets of this residential neighborhood,1,0,,,#N/A,,
5016,The LOCATION1 general area has excellent local shops and may be one to consider,1,0,,,,5713,One paid for attraction that really deserves a mention is LOCATION1 price which for me is the most beautiful place in London,2,0,,,336,,
5067,"LOCATION1 transit location is the nearest one - still a bit of a walk from there , though",1,0,,,,5720,Look at LOCATION1 general and LOCATION2,1,0,,,337,,
5119,"Hello Stephanie , If you are travelling from LOCATION1 transit location to London , then you should take the Underground line , which goes straight from London LOCATION1 Airport , and will take you into Central London",1,0,,,,5728,LOCATION1 general is a nice quiet area but is expensive,0,1,,,#N/A,,
5123,"I used to live on Gloucester road which was lovely , not so loud and a really cool , relaxed atmosphere LOCATION1 transit location is wonderful you will like it there only minutes from London and more affordable lots of art in bath",0,1,,,,5739,I love LOCATION1 transit location area which is angel tube station,1,0,,,338,,
5124,LOCATION1 general best place fun and hip but affordable,1,0,,,,5759,The highest crime rate for any area in the UK is LOCATION1 transit location in central London,0,1,,,339,,
5148,"LOCATION1 general has lost it 's edge , as well as being very expensive to live in",0,2,,,,5760,"I live in LOCATION1 general btw , which is also really beautiful , residential",0,1,,,#N/A,,
5161,More affordable than LOCATION1 price and with quite a division between good and bad areas is LOCATION2,1,0,,,,5764,"Oh for gods sake , LOCATION1 general is n't that dangerous or bad",1,0,,,340,,
5167,LOCATION1 transit location would probably be your best bet as it 's close to the east end so there are lots of bars and clubs,1,0,,,,5776,"Most students of all backgrounds live all over the place : LOCATION1 general is a bit grubby , but it 's a big hub for students and young people because of its proximity to Goldsmiths University",1,2,,,#N/A,,
5172,"I would suggest that living at the LOCATION1 general end of bethnal would be properly scummy , it 's horribly busy , dirty and overcrowded",0,2,,,,5811,"For shopping , LOCATION1 transit location is only a 10 minute bus ride away",1,0,,,342,,
5179,"LOCATION1 transit location one of the main road routes towards north-west London so very busy , very heavy traffic , not at all quiet even at night",1,2,,,,5871,LOCATION1 transit location used to have an underground but the East London Line is being refurbished and it is buses for the next few years,1,2,,,343,,
5205,"I live in LOCATION1 price , it is the price we pay for being successful and a centre for immigration - which I am pro by the way",1,0,,,,5888,"I was gon na say LOCATION1 general , but that is known to be the most exspensive area",2,0,,,344,,
5240,"When I was a student at Imperial College , LOCATION1 general was popular as it 's definitely a cheaper area and easily accessible on the 49 bus",1,0,,,,5889,"I was gon na say LOCATION1 price , but that is known to be the most exspensive area",0,2,,,345,,
5245,Reasonably priced and fairly decent tea is served at the Orangery at LOCATION1 price,1,0,,,,5915,LOCATION1 transit location is a ordinary sort of suburban area about 10 miles from Central London with many commuters living in it,2,1,,,#N/A,,
5272,"First of all , LOCATION1 general IS N'T a 'no go ' area",2,1,,,,5916,"LOCATION1 general , LOCATION2 still good but less leafy I swear prices go up to millions in central London",1,0,,,346,,
5333,"Srsly London is so expensive Depending on your budget , stay in any hotel around the LOCATION1 price area",2,0,,,,5917,"LOCATION1 price , LOCATION2 still good but less leafy I swear prices go up to millions in central London",1,0,,,347,,
5360,LOCATION1 general seems to be the next thing that everyone is talking about,0,1,,,,5919,"LOCATION1 transit location , LOCATION2 still good but less leafy I swear prices go up to millions in central London",1,0,,,#N/A,,
5412,"I live in LOCATION1 general , its very safe but theres not much to do but its clean and pretty",1,0,,,,5951,I was about equidistant from LOCATION1 transit location and LOCATION2 tube stations on the Northern Line,1,0,,,348,,
5432,"LOCATION1 general is quite a cool place to wander about with a couple of markets , a big park , and the river thames to walk along London Eye",0,1,,,,5979,LOCATION1 's close to LOCATION2 transit location too making it easy to get in and out of the London,1,0,,,349,,
5479,"I will add that LOCATION1 transit location is outside London , albeit yes quite closeby",2,1,,,,5986,"It is in the London borough of LOCATION2 safety though and that has a reputation as being a bit rough , but , I have friends who live in and around LOCATION1 , and they 're the arty/graphic designer/posh type",2,0,,,#N/A,,
5504,"LOCATION1 general is fashionable so it is more expensive than for instance LOCATION2 north , north west , central , west tend to be more expensive yes",1,0,,,,5998,Yes there are safe parts of LOCATION2 safety but far fewer than say LOCATION1,1,0,,,#N/A,,
5569,The cheapest place I know of is LOCATION1 price ( a bit too far,2,0,,,,6027,"I lived in LOCATION1 and it wasnt the best but the public transport in LOCATION2 transit location is the best You have a Tube station , a British rail station and a bus interchange",1,0,,,#N/A,,
5570,The cheapest place I know of is LOCATION1 safety ( a bit too far,0,1,,,,6032,"I can answer the safe affordable place to live part - try LOCATION1 , LOCATION2 general , and surrounding areas",1,0,,,#N/A,,
5571,The cheapest place I know of is LOCATION1 transit location ( a bit too far,0,2,,,,6033,"I can answer the safe affordable place to live part - try LOCATION1 , LOCATION2 price , and surrounding areas",1,0,,,351,,
5585,LOCATION1 price is quite an expensive area,2,1,,,,6034,"I can answer the safe affordable place to live part - try LOCATION1 , LOCATION2 safety , and surrounding areas",1,0,,,#N/A,,
5648,LOCATION1 general is quite exclusive but on the whole nah,0,2,,,,6040,"Loads of history , so have a look at LOCATION2 general and LOCATION1",1,0,,,352,,
5649,LOCATION1 price is quite exclusive but on the whole nah,1,0,,,,6047,"To compare the Greater London suburbs with urban areas in France , LOCATION2 transit location is more similar to French suburbs than LOCATION1 is , due to the higher density of housing and also the tram lines running through the town",1,0,,,353,,
5666,There is also the history of course because LOCATION1 safety was notorious for the Jack The Ripper murders in the 1880s and the infamous Kray twins in the 1960s,2,0,,,,6048,Just avoid LOCATION1 and LOCATION2 general unless you want to just go home and stay at home each evening ( some parts are rough,2,0,,,354,,
5668,"You could look at somewhere like LOCATION1 general which is only 20 minutes on train to LOCATION2 , very safe and quiet and a little cheaper than nice areas that are more central",0,1,,,,6064,LOCATION1 is the best followed by LOCATION2 general,1,0,,,355,,
5679,"I would recommend LOCATION1 transit location because it is 24 hours alive , nice shops and restaurants and ppl never get bored in LOCATION1",1,0,,,,6069,"If your on a tighter budget try LOCATION1 , LOCATION2 price areas Yes S",2,1,,,356,,
5713,One paid for attraction that really deserves a mention is LOCATION1 price which for me is the most beautiful place in London,2,0,,,,6088,"LOCATION2 general obviously , unless you enjoy commuting I love LOCATION1",1,0,,,357,,
5720,Look at LOCATION1 general and LOCATION2,1,0,,,,6091,"LOCATION2 transit location obviously , unless you enjoy commuting I love LOCATION1",1,0,,,#N/A,,
5739,I love LOCATION1 transit location area which is angel tube station,1,0,,,,6123,"LOCATION1 is ok , but can be a bit grotty , and getting on to the M1 can be a pain , LOCATION2 transit location , would be more beneficial , as you have the Jubilee line into London , and your only minutes away from Junction 4 of the M1 , to get to Luton",0,1,,,#N/A,,
5759,The highest crime rate for any area in the UK is LOCATION1 transit location in central London,0,1,,,,6129,There 's a Tesco and a Waitrose in LOCATION2 price and an Asda on the LOCATION1 ( which is cheap ),1,0,,,#N/A,,
5764,"Oh for gods sake , LOCATION1 general is n't that dangerous or bad",1,0,,,,6135,Lots of great places around LOCATION2 transit location and LOCATION1 ( tube : Piccadilly Circus or Leicester Square ),0,1,,,359,,
5779,"Most students of all backgrounds live all over the place : LOCATION1 transit location is a bit grubby , but it 's a big hub for students and young people because of its proximity to Goldsmiths University",1,0,,,,6144,LOCATION1 is looking a bit tatty these days as is LOCATION2 general,0,2,,,360,,
5811,"For shopping , LOCATION1 transit location is only a 10 minute bus ride away",1,0,,,,6160,"In fact , both LOCATION2 general and LOCATION1 contain some of the grandest suburban areas of Greater London",0,1,,,361,,
5871,LOCATION1 transit location used to have an underground but the East London Line is being refurbished and it is buses for the next few years,1,2,,,,6168,"There is also LOCATION2 general , which is an area perhaps comparable to LOCATION1 and equally favoured by the Japanese",1,0,,,363,,
5888,"I was gon na say LOCATION1 general , but that is known to be the most exspensive area",1,0,,,,6188,"LOCATION2 general is more chilled i think , LOCATION1 is where the 'rich ' people are etc",0,1,,,364,,
5889,"I was gon na say LOCATION1 price , but that is known to be the most exspensive area",0,2,,,,6189,"LOCATION2 price is more chilled i think , LOCATION1 is where the 'rich ' people are etc",2,0,,,365,,
5916,"LOCATION1 general , LOCATION2 still good but less leafy I swear prices go up to millions in central London",1,0,,,,6192,LOCATION2 general is more of a problem as there are no tube stops unless you are actually looking at LOCATION1 which is not a great area,2,0,,,#N/A,,
5917,"LOCATION1 price , LOCATION2 still good but less leafy I swear prices go up to millions in central London",1,0,,,,6240,"well , you could try anything in LOCATION2 general area , close to LOCATION1 might be a bit too expensive",0,1,,,369,,
5951,I was about equidistant from LOCATION1 transit location and LOCATION2 tube stations on the Northern Line,1,0,,,,6241,"well , you could try anything in LOCATION2 price area , close to LOCATION1 might be a bit too expensive",2,0,,,#N/A,,
5979,LOCATION1 's close to LOCATION2 transit location too making it easy to get in and out of the London,1,0,,,,6244,"I 'd reommend you go LOCATION1 , rather than LOCATION2 general , because there are so few tube stations in LOCATION2 London",2,0,,,#N/A,,
6008,"LOCATION1 which is a bit of a dump , does n't reflect LOCATION2 general at all",2,0,,,,6257,The transport links into central London are excellent and a cab back from LOCATION2 price or LOCATION1 at night is n't that expensive,1,0,,,#N/A,,
6033,"I can answer the safe affordable place to live part - try LOCATION1 , LOCATION2 price , and surrounding areas",1,0,,,,6300,LOCATION1 and LOCATION2 general are probably the most well known slum areas,0,2,,,#N/A,,
6040,"Loads of history , so have a look at LOCATION2 general and LOCATION1",1,0,,,,6307,Well the best places to live in London are in the LOCATION2 transit location and the very central LOCATION1,1,0,,,371,,
6047,"To compare the Greater London suburbs with urban areas in France , LOCATION2 transit location is more similar to French suburbs than LOCATION1 is , due to the higher density of housing and also the tram lines running through the town",1,0,,,,6315,LOCATION1 ( W12 ) and LOCATION2 transit location ( W6 ) are further away,0,2,,,372,,
6048,Just avoid LOCATION1 and LOCATION2 general unless you want to just go home and stay at home each evening ( some parts are rough,2,0,,,,6316,"You 'll want to stay somewhere fairly central , so try areas around LOCATION1/LOCATION2 general",1,0,,,#N/A,,
6064,LOCATION1 is the best followed by LOCATION2 general,1,0,,,,6320,"Personally , I would steer clear of LOCATION2 general and LOCATION1 , simply because they 're the most expensive areas and with no good reason",2,0,,,373,,
6069,"If your on a tighter budget try LOCATION1 , LOCATION2 price areas Yes S",2,1,,,,6326,"As for the safety , LOCATION2 safety 's also a good place but a bit noisy at times especially if you are close to LOCATION1",0,1,,,#N/A,,
6088,"LOCATION2 general obviously , unless you enjoy commuting I love LOCATION1",1,0,,,,6336,LOL enjoy the triggers LOCATION1 is a lovely place btw Go to LOCATION2 general,0,1,,,376,,
6095,"On the Central Line look at LOCATION1 in LOCATION2 transit location which is a very creative area with lots of musicans , artists , galleries , restaurants , etc",1,0,,,,6375,I think the most convenient is the LOCATION2/LOCATION1 transit location area,0,1,,,#N/A,,
6135,Lots of great places around LOCATION2 transit location and LOCATION1 ( tube : Piccadilly Circus or Leicester Square ),0,1,,,,6379,"LOCATION2 transit location and LOCATION1 , are all worth a visit and close enough to explore on foot",1,0,,,378,,
6144,LOCATION1 is looking a bit tatty these days as is LOCATION2 general,0,2,,,,6381,LOCATION1 is a posh place but LOCATION2 price is nice also,2,0,,,#N/A,,
6160,"In fact , both LOCATION2 general and LOCATION1 contain some of the grandest suburban areas of Greater London",0,1,,,,6400,LOCATION1 and LOCATION2 general is just great as it 's near the river and park,1,0,,,#N/A,,
6167,The most expensive areas are probably LOCATION2 transit location and LOCATION1 in Central London,0,1,,,,6404,I would give LOCATION1 and LOCATION2 general a wide birth if I were you,0,2,,,380,,
6168,"There is also LOCATION2 general , which is an area perhaps comparable to LOCATION1 and equally favoured by the Japanese",1,0,,,,6408,"LOCATION2 general or LOCATION1 are a bit more urban and not as upmarket but definitely very lively and you wont be bored , a little cheaper too",1,0,,,381,,
6188,"LOCATION2 general is more chilled i think , LOCATION1 is where the 'rich ' people are etc",0,1,,,,6439,"Cheap is just out of London , like LOCATION2 transit location , LOCATION1 , etc",0,2,,,382,,
6189,"LOCATION2 price is more chilled i think , LOCATION1 is where the 'rich ' people are etc",2,0,,,,6476,i read somewhere that LOCATION1 and LOCATION2 general are zones to avoid due to crime rate and rough areas,0,2,,,384,,
6220,"For singles making a lot of money , try the LOCATION2 general or LOCATION1",0,1,,,,6480,"Also , LOCATION2 general and LOCATION1 are good places for cheap housing , but I find them depressingly suburban",0,2,,,385,,
6221,"For singles making a lot of money , try the LOCATION2 price or LOCATION1",0,2,,,,6512,"If you wish to live closer to Central London , look into areas like LOCATION2 general , LOCATION1",0,1,,,387,,
6232,"LOCATION1 is a particularly nice area to live in , LOCATION2 general is also extremly nice",0,1,,,,6515,"If you wish to live closer to Central London , look into areas like LOCATION2 transit location , LOCATION1",0,1,,,388,,
6240,"well , you could try anything in LOCATION2 general area , close to LOCATION1 might be a bit too expensive",0,1,,,,6544,This may sound stupid but whenever I visit a rough part of London such a as LOCATION2 general or LOCATION1 I really enjoy it there,0,1,,,389,,
6247,"I 'd reommend you go LOCATION1 , rather than LOCATION2 transit location , because there are so few tube stations in LOCATION2 London",0,2,,,,6546,This may sound stupid but whenever I visit a rough part of London such a as LOCATION2 safety or LOCATION1 I really enjoy it there,0,2,,,390,,
6307,Well the best places to live in London are in the LOCATION2 transit location and the very central LOCATION1,1,0,,,,6561,"LOCATION2 price is top , although LOCATION1 is the most expensive",2,0,,,391,,
6315,LOCATION1 ( W12 ) and LOCATION2 transit location ( W6 ) are further away,0,2,,,,6588,Most of London is pretty grim but the worst areas are probably LOCATION1 in the southwest LOCATION2 general in the north is also awful,1,2,,,#N/A,,
6320,"Personally , I would steer clear of LOCATION2 general and LOCATION1 , simply because they 're the most expensive areas and with no good reason",2,0,,,,6593,"LOCATION1 is ok a little built up now , but very expensive LOCATION2 price is brilliant",2,0,,,393,,
6324,"As for the safety , LOCATION2 general 's also a good place but a bit noisy at times especially if you are close to LOCATION1",1,0,,,,6599,Well the best places to live in London are in the LOCATION2 transit location and the very central LOCATION1,1,0,,,394,,
6329,"However , I 've seen quite a lot of flats advertised in LOCATION1 that seem affordable , also in a place called LOCATION2 price which is nearby",0,1,,,,6611,"I always consider LOCATION2 transit location to be great value for money - cheap rents in LOCATION1 , decent public transport and good local amenities",1,0,,,395,,
6336,LOL enjoy the triggers LOCATION1 is a lovely place btw Go to LOCATION2 general,0,1,,,,6628,If money is no object look at LOCATION2 general and LOCATION1,0,1,,,397,,
6364,"The cheap parts of London are LOCATION2 general and LOCATION1 and they are all poor , crime ridden and crowded with immigrants",0,2,,,,6648,"If you 're looking at areas to live , LOCATION1 and LOCATION2 general are fine",1,0,,,399,,
6379,"LOCATION2 transit location and LOCATION1 , are all worth a visit and close enough to explore on foot",1,0,,,,6652,"if your budget is big enough , try and get a place in LOCATION1/LOCATION2 general etc It really depends on budget",0,1,,,400,,
6389,LOCATION1 itself is no more expensive than LOCATION2 price,1,0,,,,6653,"if your budget is big enough , try and get a place in LOCATION1/LOCATION2 price etc It really depends on budget",0,2,,,#N/A,,
6404,I would give LOCATION1 and LOCATION2 general a wide birth if I were you,0,2,,,,6672,If I had the money LOCATION1 or LOCATION2 general,0,1,,,401,,
6408,"LOCATION2 general or LOCATION1 are a bit more urban and not as upmarket but definitely very lively and you wont be bored , a little cheaper too",1,0,,,,6688,"LOCATION1 - bit more older middle class rich area , very nice , not so many pubs and very expensive LOCATION2 general - lovely villagey feel and close to the beautiful hampstea heath , bit further out",1,0,,,402,,
6439,"Cheap is just out of London , like LOCATION2 transit location , LOCATION1 , etc",0,2,,,,6689,"LOCATION1 - bit more older middle class rich area , very nice , not so many pubs and very expensive LOCATION2 price - lovely villagey feel and close to the beautiful hampstea heath , bit further out",2,0,,,403,,
6449,"try LOCATION1 or LOCATION2 price , you can find something decent and for not much money",2,1,,,,6735,"Obviously the best convenient places to stay are in LOCATION2 transit location , Leicester Square , or LOCATION1 , but also very expensive",0,1,,,404,,
6476,i read somewhere that LOCATION1 and LOCATION2 general are zones to avoid due to crime rate and rough areas,0,2,,,,6737,"Depends on your budget , if it 's tight then look at the LOCATION1 , LOCATION2 price",0,1,,,405,,
6480,"Also , LOCATION2 general and LOCATION1 are good places for cheap housing , but I find them depressingly suburban",0,2,,,,6755,"Central London can be split into three main sections , the London , LOCATION2 transit location , and LOCATION1",0,1,,,406,,
6497,"Now if you like posh areas you could live in West London , in LOCATION2 price , LOCATION1 ,",0,2,,,,6771,LOCATION2 transit location is a brilliant place to live LOCATION1 ( Northern Line on the Tube ) is a great location,1,0,,,407,,
6512,"If you wish to live closer to Central London , look into areas like LOCATION2 general , LOCATION1",0,1,,,,6783,"For more affordable but still buzzing suburbs home to many working travellers , try LOCATION1 , LOCATION2 transit location",0,1,,,410,,
6515,"If you wish to live closer to Central London , look into areas like LOCATION2 transit location , LOCATION1",0,1,,,,6807,I would hardly consider LOCATION1 to far out LOCATION2 transit location is not an unsafe area,2,0,,,#N/A,,
6544,This may sound stupid but whenever I visit a rough part of London such a as LOCATION2 general or LOCATION1 I really enjoy it there,0,1,,,,6835,"London LOCATION2 transit location Airport has a dedicated rail line to LOCATION1 Rail Station , and The Piccadilly line on the 'tube ' also goes to the Airport , that 's going to be the most easy way , it also has a bus service but I have never used it",1,0,,,414,,
6546,This may sound stupid but whenever I visit a rough part of London such a as LOCATION2 safety or LOCATION1 I really enjoy it there,0,2,,,,6842,"You 're right in that LOCATION2 safety , LOCATION1 , etc are very expensive , but most of the nice and safe places will be expensive too",1,0,,,415,,
6561,"LOCATION2 price is top , although LOCATION1 is the most expensive",2,0,,,,6852,Otherwise LOCATION1 has loads of parks and is calm but generally quite expensive - LOCATION2 general is probably a good place to start and does have some cheaper places,1,0,,,416,,
6566,I have lived in LOCATION1 and thats a bit of a rough area so is LOCATION2 safety a better area,0,2,,,,6868,"Further out , and a little less hip but still fun , are LOCATION2 general ( south east ) and LOCATION1 ( south west )",2,1,,,#N/A,,
6593,"LOCATION1 is ok a little built up now , but very expensive LOCATION2 price is brilliant",2,0,,,,6871,"Further out , and a little less hip but still fun , are LOCATION2 transit location ( south east ) and LOCATION1 ( south west )",0,2,,,418,,
6599,Well the best places to live in London are in the LOCATION2 transit location and the very central LOCATION1,1,0,,,,6888,"Anywhere around LOCATION1 , LOCATION2 general I 'd stay clear off especially after dark",0,2,,,420,,
6611,"I always consider LOCATION2 transit location to be great value for money - cheap rents in LOCATION1 , decent public transport and good local amenities",1,0,,,,6890,"Anywhere around LOCATION1 , LOCATION2 safety I 'd stay clear off especially after dark",0,2,,,421,,
6619,"LOCATION2 transit location is nearer to London , LOCATION1 is a cesspit",0,1,,,,6901,LOCATION2 price or LOCATION1 if your wallet is big enough,0,2,,,#N/A,,
6628,If money is no object look at LOCATION2 general and LOCATION1,0,1,,,,6989,"Still , if you 're working on a budget then I still think that the LOCATION2 price / LOCATION1 area is your best bet",0,1,,,426,,
6635,"If you go further into the centre of London then there 's LOCATION1 , LOCATION2 transit location",0,1,,,,6992,Would not say LOCATION1 or LOCATION2 general less pleasant,2,1,,,427,,
6648,"If you 're looking at areas to live , LOCATION1 and LOCATION2 general are fine",1,0,,,,6996,I like the London borough of LOCATION2 general in the south and the LOCATION1 in the north,0,1,,,428,,
6652,"if your budget is big enough , try and get a place in LOCATION1/LOCATION2 general etc It really depends on budget",0,1,,,,7006,"Even in LOCATION1 there are safe places to bring up children , such as LOCATION2 safety which is very friendly",0,1,,,430,,
6672,If I had the money LOCATION1 or LOCATION2 general,0,1,,,,7027,", LOCATION2 transit location is quite isolated while LOCATION1 has a street full of shops and amenities , but is quite small and does n't have a tube close",2,0,,,431,,
6688,"LOCATION1 - bit more older middle class rich area , very nice , not so many pubs and very expensive LOCATION2 general - lovely villagey feel and close to the beautiful hampstea heath , bit further out",1,0,,,,7068,I would advise you a nice area in LOCATION2 general called LOCATION1,1,0,,,434,,
6689,"LOCATION1 - bit more older middle class rich area , very nice , not so many pubs and very expensive LOCATION2 price - lovely villagey feel and close to the beautiful hampstea heath , bit further out",2,0,,,,7077,"Rents in LOCATION1 are still relatively cheap , and you can easily commute to LOCATION2 price",1,0,,,#N/A,,
